rank,player_name,pokemon_name,teratypes,nature
6,CHENYUE ZENG [CN],Gholdengo,Steel,Good as Gold
6,CHENYUE ZENG [CN],Miraidon,Fairy,Hadron Engine
6,CHENYUE ZENG [CN],Dondozo,Grass,Unaware
6,CHENYUE ZENG [CN],Dragonite,Normal,Multiscale
6,CHENYUE ZENG [CN],tatsugiri-curly,Normal,Commander
6,CHENYUE ZENG [CN],Chi-Yu,Ghost,Beads of Ruin
7,Navjit Joshi [CA],Farigiraf,Steel,Armor Tail
7,Navjit Joshi [CA],landorus-incarnate,Poison,Sheer Force
7,Navjit Joshi [CA],calyrex-ice,Water,As One
7,Navjit Joshi [CA],ogerpon-cornerstone-mask,Rock,Sturdy
7,Navjit Joshi [CA],urshifu-rapid-strike,Normal,Unseen Fist
7,Navjit Joshi [CA],Regieleki,Electric,Transistor
8,Yuxiang Wang [CN],Chien-Pao,Stellar,Sword of Ruin
8,Yuxiang Wang [CN],Incineroar,Ghost,Intimidate
8,Yuxiang Wang [CN],Terapagos,Stellar,Tera Shift
8,Yuxiang Wang [CN],Flutter-Mane,Fairy,Protosynthesis
8,Yuxiang Wang [CN],Rillaboom,Grass,Grassy Surge
8,Yuxiang Wang [CN],urshifu-rapid-strike,Water,Unseen Fist
9,hyuma hara [JP],Incineroar,Ghost,Intimidate
9,hyuma hara [JP],urshifu-rapid-strike,Poison,Unseen Fist
9,hyuma hara [JP],Rillaboom,Grass,Grassy Surge
9,hyuma hara [JP],Flutter-Mane,Fairy,Protosynthesis
9,hyuma hara [JP],Terapagos,Stellar,Tera Shift
9,hyuma hara [JP],ogerpon-hearthflame-mask,Fire,Mold Breaker
10,Ruben Gianzini [IT],calyrex-shadow,Normal,As One
10,Ruben Gianzini [IT],Incineroar,Water,Intimidate
10,Ruben Gianzini [IT],Rillaboom,Fire,Grassy Surge
10,Ruben Gianzini [IT],urshifu-rapid-strike,Stellar,Unseen Fist
10,Ruben Gianzini [IT],Raging-Bolt,Electric,Protosynthesis
10,Ruben Gianzini [IT],Clefairy,Ground,Friend Guard
11,Marco Hemantha Kaludura Silva [IT],urshifu-rapid-strike,Stellar,Unseen Fist
11,Marco Hemantha Kaludura Silva [IT],Rillaboom,Fire,Grassy Surge
11,Marco Hemantha Kaludura Silva [IT],Raging-Bolt,Fairy,Protosynthesis
11,Marco Hemantha Kaludura Silva [IT],calyrex-shadow,Normal,As One
11,Marco Hemantha Kaludura Silva [IT],Incineroar,Water,Intimidate
11,Marco Hemantha Kaludura Silva [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
12,Justin Knox [US],urshifu-rapid-strike,Water,Unseen Fist
12,Justin Knox [US],tatsugiri-droopy,Stellar,Commander
12,Justin Knox [US],calyrex-shadow,Normal,As One
12,Justin Knox [US],weezing-galar,Grass,Neutralizing Gas
12,Justin Knox [US],indeedee-female,Water,Psychic Surge
12,Justin Knox [US],Dondozo,Grass,Unaware
13,Antonio Sánchez [ES],calyrex-ice,Fire,As One
13,Antonio Sánchez [ES],ogerpon-cornerstone-mask,Rock,Sturdy
13,Antonio Sánchez [ES],Farigiraf,Water,Armor Tail
13,Antonio Sánchez [ES],Rillaboom,Grass,Grassy Surge
13,Antonio Sánchez [ES],urshifu-rapid-strike,Water,Unseen Fist
13,Antonio Sánchez [ES],Raging-Bolt,Electric,Protosynthesis
14,Oliver Eskolin [FI],urshifu-rapid-strike,Ghost,Unseen Fist
14,Oliver Eskolin [FI],Kyogre,Grass,Drizzle
14,Oliver Eskolin [FI],Roaring-Moon,Flying,Protosynthesis
14,Oliver Eskolin [FI],Rillaboom,Fire,Grassy Surge
14,Oliver Eskolin [FI],Amoonguss,Steel,Regenerator
14,Oliver Eskolin [FI],Incineroar,Ghost,Intimidate
15,Diego Aguirre [CA],Flutter-Mane,Grass,Protosynthesis
15,Diego Aguirre [CA],Latios,Steel,Levitate
15,Diego Aguirre [CA],Rillaboom,Grass,Grassy Surge
15,Diego Aguirre [CA],landorus-incarnate,Poison,Sheer Force
15,Diego Aguirre [CA],Tyranitar,Ghost,Sand Stream
15,Diego Aguirre [CA],Zamazenta,Dragon,Dauntless Shield
16,Kylan Van Severen [CA],urshifu-single-strike,Dark,Unseen Fist
16,Kylan Van Severen [CA],Chi-Yu,Water,Beads of Ruin
16,Kylan Van Severen [CA],Amoonguss,Water,Regenerator
16,Kylan Van Severen [CA],Flutter-Mane,Normal,Protosynthesis
16,Kylan Van Severen [CA],calyrex-ice,Fire,As One
16,Kylan Van Severen [CA],Raging-Bolt,Electric,Protosynthesis
17,Wolfe Glick [US],Incineroar,Ghost,Intimidate
17,Wolfe Glick [US],Raging-Bolt,Fairy,Protosynthesis
17,Wolfe Glick [US],calyrex-shadow,Water,As One
17,Wolfe Glick [US],Rillaboom,Fire,Grassy Surge
17,Wolfe Glick [US],urshifu-rapid-strike,Stellar,Unseen Fist
17,Wolfe Glick [US],Farigiraf,Grass,Armor Tail
18,Hirofumi Kimura [JP],Chi-Yu,Grass,Beads of Ruin
18,Hirofumi Kimura [JP],ogerpon-cornerstone-mask,Rock,Sturdy
18,Hirofumi Kimura [JP],calyrex-ice,Poison,As One
18,Hirofumi Kimura [JP],Flutter-Mane,Normal,Protosynthesis
18,Hirofumi Kimura [JP],urshifu-rapid-strike,Water,Unseen Fist
18,Hirofumi Kimura [JP],Raging-Bolt,Electric,Protosynthesis
19,Sho Akiyama [JP],urshifu-rapid-strike,Stellar,Unseen Fist
19,Sho Akiyama [JP],calyrex-shadow,Normal,As One
19,Sho Akiyama [JP],Amoonguss,Fairy,Regenerator
19,Sho Akiyama [JP],Raging-Bolt,Electric,Protosynthesis
19,Sho Akiyama [JP],Rillaboom,Fire,Grassy Surge
19,Sho Akiyama [JP],Incineroar,Ghost,Intimidate
20,Keanu Inosanto [US],Zamazenta,Grass,Dauntless Shield
20,Keanu Inosanto [US],Pelipper,Grass,Drizzle
20,Keanu Inosanto [US],urshifu-rapid-strike,Ghost,Unseen Fist
20,Keanu Inosanto [US],Raging-Bolt,Electric,Protosynthesis
20,Keanu Inosanto [US],Chien-Pao,Ghost,Sword of Ruin
20,Keanu Inosanto [US],Amoonguss,Dark,Regenerator
21,Grant Weldon [US],Ditto,Normal,Imposter
21,Grant Weldon [US],Zacian,Ground,Intrepid Sword
21,Grant Weldon [US],Amoonguss,Water,Regenerator
21,Grant Weldon [US],Regidrago,Ghost,Dragon's Maw
21,Grant Weldon [US],Chi-Yu,Fire,Beads of Ruin
21,Grant Weldon [US],Whimsicott,Steel,Prankster
22,Shiliang Tang [CN],calyrex-ice,Normal,As One
22,Shiliang Tang [CN],urshifu-rapid-strike,Stellar,Unseen Fist
22,Shiliang Tang [CN],landorus-incarnate,Ghost,Sheer Force
22,Shiliang Tang [CN],ogerpon,Grass,Defiant
22,Shiliang Tang [CN],Pelipper,Grass,Drizzle
22,Shiliang Tang [CN],Incineroar,Grass,Intimidate
23,Shohei Kimura [JP],Rillaboom,Fire,Grassy Surge
23,Shohei Kimura [JP],Amoonguss,Water,Regenerator
23,Shohei Kimura [JP],urshifu-rapid-strike,Stellar,Unseen Fist
23,Shohei Kimura [JP],calyrex-shadow,Dark,As One
23,Shohei Kimura [JP],Raging-Bolt,Fairy,Protosynthesis
23,Shohei Kimura [JP],Incineroar,Water,Intimidate
24,Taran Birdee [UK],ogerpon-hearthflame-mask,Fire,Mold Breaker
24,Taran Birdee [UK],Miraidon,Fairy,Hadron Engine
24,Taran Birdee [UK],Whimsicott,Water,Prankster
24,Taran Birdee [UK],Iron-Hands,Grass,Quark Drive
24,Taran Birdee [UK],Farigiraf,Water,Armor Tail
24,Taran Birdee [UK],urshifu-single-strike,Dark,Unseen Fist
25,Carlos Cabal [ES],Koraidon,Fire,Orichalcum Pulse
25,Carlos Cabal [ES],Raging-Bolt,Electric,Protosynthesis
25,Carlos Cabal [ES],ogerpon-cornerstone-mask,Rock,Sturdy
25,Carlos Cabal [ES],Flutter-Mane,Fairy,Protosynthesis
25,Carlos Cabal [ES],Ditto,Ghost,Imposter
25,Carlos Cabal [ES],Chi-Yu,Water,Beads of Ruin
26,Eric Rios [ES],ogerpon-hearthflame-mask,Fire,Mold Breaker
26,Eric Rios [ES],urshifu-rapid-strike,Grass,Unseen Fist
26,Eric Rios [ES],landorus-incarnate,Ghost,Sheer Force
26,Eric Rios [ES],Grimmsnarl,Water,Prankster
26,Eric Rios [ES],Raging-Bolt,Poison,Protosynthesis
26,Eric Rios [ES],Terapagos,Stellar,Tera Shift
27,Sebastian Escalante [AR],Smeargle,Grass,Moody
27,Sebastian Escalante [AR],tornadus-incarnate,Dark,Prankster
27,Sebastian Escalante [AR],Terapagos,Stellar,Tera Shift
27,Sebastian Escalante [AR],ogerpon-hearthflame-mask,Fire,Mold Breaker
27,Sebastian Escalante [AR],Iron-Hands,Grass,Quark Drive
27,Sebastian Escalante [AR],Klefki,Ghost,Prankster
28,Daniel Yu [US],Kyogre,Grass,Drizzle
28,Daniel Yu [US],urshifu-rapid-strike,Grass,Unseen Fist
28,Daniel Yu [US],tornadus-incarnate,Dark,Prankster
28,Daniel Yu [US],landorus-incarnate,Ghost,Sheer Force
28,Daniel Yu [US],Tsareena,Ice,Queenly Majesty
28,Daniel Yu [US],basculegion-male,Grass,Swift Swim
29,Alex Gómez Berna [ES],Grimmsnarl,Water,Prankster
29,Alex Gómez Berna [ES],landorus-incarnate,Ghost,Sheer Force
29,Alex Gómez Berna [ES],urshifu-rapid-strike,Grass,Unseen Fist
29,Alex Gómez Berna [ES],ogerpon-hearthflame-mask,Fire,Mold Breaker
29,Alex Gómez Berna [ES],Raging-Bolt,Poison,Protosynthesis
29,Alex Gómez Berna [ES],Terapagos,Stellar,Tera Shift
30,Adam Cherfaoui [FR],calyrex-shadow,Fairy,As One
30,Adam Cherfaoui [FR],Rillaboom,Fire,Grassy Surge
30,Adam Cherfaoui [FR],Roaring-Moon,Flying,Protosynthesis
30,Adam Cherfaoui [FR],Incineroar,Water,Intimidate
30,Adam Cherfaoui [FR],urshifu-rapid-strike,Stellar,Unseen Fist
30,Adam Cherfaoui [FR],Clefairy,Grass,Friend Guard
31,Riley Factura [US],urshifu-rapid-strike,Grass,Unseen Fist
31,Riley Factura [US],Ursaluna,Normal,Guts
31,Riley Factura [US],Miraidon,Ghost,Hadron Engine
31,Riley Factura [US],Iron-Crown,Ground,Quark Drive
31,Riley Factura [US],Incineroar,Dragon,Intimidate
31,Riley Factura [US],Whimsicott,Ghost,Prankster
32,Jeremy Parson [US],Iron-Hands,Grass,Quark Drive
32,Jeremy Parson [US],urshifu-single-strike,Dark,Unseen Fist
32,Jeremy Parson [US],Farigiraf,Water,Armor Tail
32,Jeremy Parson [US],Chi-Yu,Fire,Beads of Ruin
32,Jeremy Parson [US],Miraidon,Fairy,Hadron Engine
32,Jeremy Parson [US],Whimsicott,Fire,Prankster
33,Víctor Medina [ES],ogerpon-cornerstone-mask,Rock,Sturdy
33,Víctor Medina [ES],urshifu-rapid-strike,Water,Unseen Fist
33,Víctor Medina [ES],Rillaboom,Grass,Grassy Surge
33,Víctor Medina [ES],Raging-Bolt,Electric,Protosynthesis
33,Víctor Medina [ES],Farigiraf,Water,Armor Tail
33,Víctor Medina [ES],calyrex-ice,Fire,As One
34,Kian Campbell [US],Rillaboom,Normal,Grassy Surge
34,Kian Campbell [US],Zacian,Fairy,Intrepid Sword
34,Kian Campbell [US],urshifu-rapid-strike,Grass,Unseen Fist
34,Kian Campbell [US],Chien-Pao,Ghost,Sword of Ruin
34,Kian Campbell [US],Umbreon,Water,Inner Focus
34,Kian Campbell [US],tornadus-incarnate,Dark,Prankster
35,Junxi Zhu [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
35,Junxi Zhu [US],tornadus-incarnate,Dark,Prankster
35,Junxi Zhu [US],Smeargle,Grass,Moody
35,Junxi Zhu [US],Iron-Hands,Grass,Quark Drive
35,Junxi Zhu [US],Terapagos,Stellar,Tera Shift
35,Junxi Zhu [US],Klefki,Ghost,Prankster
36,Alberto Cañuelo Gómez [ES],Clefairy,Ground,Friend Guard
36,Alberto Cañuelo Gómez [ES],calyrex-shadow,Grass,As One
36,Alberto Cañuelo Gómez [ES],urshifu-rapid-strike,Water,Unseen Fist
36,Alberto Cañuelo Gómez [ES],tornadus-incarnate,Dark,Prankster
36,Alberto Cañuelo Gómez [ES],Iron-Hands,Fire,Quark Drive
36,Alberto Cañuelo Gómez [ES],Smeargle,Ghost,Moody
37,Nico Davide Cognetta [IT],Terapagos,Stellar,Tera Shift
37,Nico Davide Cognetta [IT],Rillaboom,Fire,Grassy Surge
37,Nico Davide Cognetta [IT],Incineroar,Ghost,Intimidate
37,Nico Davide Cognetta [IT],Annihilape,Grass,Defiant
37,Nico Davide Cognetta [IT],ogerpon-cornerstone-mask,Rock,Sturdy
37,Nico Davide Cognetta [IT],Scream-Tail,Ghost,Protosynthesis
38,WEI CHYR [TW],Miraidon,Fairy,Hadron Engine
38,WEI CHYR [TW],Farigiraf,Water,Armor Tail
38,WEI CHYR [TW],Whimsicott,Fire,Prankster
38,WEI CHYR [TW],urshifu-rapid-strike,Stellar,Unseen Fist
38,WEI CHYR [TW],ogerpon-hearthflame-mask,Fire,Mold Breaker
38,WEI CHYR [TW],Iron-Hands,Bug,Quark Drive
39,Jack Lloyd [AU],Flutter-Mane,Grass,Protosynthesis
39,Jack Lloyd [AU],Chi-Yu,Grass,Beads of Ruin
39,Jack Lloyd [AU],Latios,Steel,Levitate
39,Jack Lloyd [AU],Zamazenta,Dragon,Dauntless Shield
39,Jack Lloyd [AU],Rillaboom,Grass,Grassy Surge
39,Jack Lloyd [AU],Tyranitar,Ghost,Sand Stream
40,Noah Gardner [US],Grimmsnarl,Ghost,Prankster
40,Noah Gardner [US],Zamazenta,Grass,Dauntless Shield
40,Noah Gardner [US],Gholdengo,Normal,Good as Gold
40,Noah Gardner [US],Rillaboom,Fire,Grassy Surge
40,Noah Gardner [US],Chien-Pao,Ghost,Sword of Ruin
40,Noah Gardner [US],Pelipper,Ghost,Drizzle
41,Brian Collins [US],urshifu-rapid-strike,Ghost,Unseen Fist
41,Brian Collins [US],Okidogi,Grass,Guard Dog
41,Brian Collins [US],indeedee-female,Water,Psychic Surge
41,Brian Collins [US],Ursaluna,Ghost,Guts
41,Brian Collins [US],Whimsicott,Dark,Prankster
41,Brian Collins [US],Lunala,Grass,Shadow Shield
42,Aaron Traylor [US],Farigiraf,Water,Armor Tail
42,Aaron Traylor [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
42,Aaron Traylor [US],Whimsicott,Dark,Prankster
42,Aaron Traylor [US],Iron-Hands,Grass,Quark Drive
42,Aaron Traylor [US],urshifu-rapid-strike,Stellar,Unseen Fist
42,Aaron Traylor [US],Miraidon,Fairy,Hadron Engine
43,Yuma Kinugawa [JP],urshifu-single-strike,Water,Unseen Fist
43,Yuma Kinugawa [JP],ogerpon-hearthflame-mask,Fire,Mold Breaker
43,Yuma Kinugawa [JP],Raging-Bolt,Stellar,Protosynthesis
43,Yuma Kinugawa [JP],Iron-Hands,Fairy,Quark Drive
43,Yuma Kinugawa [JP],Groudon,Fire,Drought
43,Yuma Kinugawa [JP],Iron-Jugulis,Steel,Quark Drive
44,Alessandro Fantinato [IT],Ditto,Ghost,Imposter
44,Alessandro Fantinato [IT],Chien-Pao,Ghost,Sword of Ruin
44,Alessandro Fantinato [IT],Rillaboom,Grass,Grassy Surge
44,Alessandro Fantinato [IT],Flutter-Mane,Fairy,Protosynthesis
44,Alessandro Fantinato [IT],Entei,Normal,Inner Focus
44,Alessandro Fantinato [IT],Zamazenta,Dragon,Dauntless Shield
45,Giacomo Pauselli [IT],calyrex-shadow,Normal,As One
45,Giacomo Pauselli [IT],weezing-galar,Dark,Neutralizing Gas
45,Giacomo Pauselli [IT],Mienshao,Fighting,Inner Focus
45,Giacomo Pauselli [IT],Dondozo,Grass,Unaware
45,Giacomo Pauselli [IT],Chi-Yu,Ghost,Beads of Ruin
45,Giacomo Pauselli [IT],tatsugiri-droopy,Fairy,Commander
46,智也 小川 [JP],Rillaboom,Fire,Grassy Surge
46,智也 小川 [JP],urshifu-rapid-strike,Water,Unseen Fist
46,智也 小川 [JP],calyrex-shadow,Fairy,As One
46,智也 小川 [JP],Mienshao,Fighting,Inner Focus
46,智也 小川 [JP],Clefairy,Grass,Friend Guard
46,智也 小川 [JP],Incineroar,Water,Intimidate
47,xiangyu xi [SG],urshifu-rapid-strike,Stellar,Unseen Fist
47,xiangyu xi [SG],Rillaboom,Fire,Grassy Surge
47,xiangyu xi [SG],Clefairy,Ground,Friend Guard
47,xiangyu xi [SG],Raging-Bolt,Electric,Protosynthesis
47,xiangyu xi [SG],calyrex-shadow,Normal,As One
47,xiangyu xi [SG],ogerpon-hearthflame-mask,Fire,Mold Breaker
48,Lorenzo Silvestrini [IT],ogerpon-cornerstone-mask,Rock,Sturdy
48,Lorenzo Silvestrini [IT],Smeargle,Grass,Moody
48,Lorenzo Silvestrini [IT],Clefairy,Water,Friend Guard
48,Lorenzo Silvestrini [IT],urshifu-rapid-strike,Water,Unseen Fist
48,Lorenzo Silvestrini [IT],calyrex-shadow,Fairy,As One
48,Lorenzo Silvestrini [IT],Rillaboom,Fire,Grassy Surge
49,ALEX UNDERHILL [US],Amoonguss,Fairy,Regenerator
49,ALEX UNDERHILL [US],urshifu-rapid-strike,Water,Unseen Fist
49,ALEX UNDERHILL [US],ursaluna-bloodmoon,Normal,Mind’s Eye
49,ALEX UNDERHILL [US],Farigiraf,Grass,Armor Tail
49,ALEX UNDERHILL [US],calyrex-ice,Fire,As One
49,ALEX UNDERHILL [US],Iron-Hands,Grass,Quark Drive
50,Naoya Osumi [JP],urshifu-rapid-strike,Stellar,Unseen Fist
50,Naoya Osumi [JP],Rillaboom,Fire,Grassy Surge
50,Naoya Osumi [JP],calyrex-shadow,Normal,As One
50,Naoya Osumi [JP],Raging-Bolt,Electric,Protosynthesis
50,Naoya Osumi [JP],indeedee-female,Dragon,Psychic Surge
50,Naoya Osumi [JP],Incineroar,Ghost,Intimidate
51,Luca Paz [US],ogerpon-cornerstone-mask,Rock,Sturdy
51,Luca Paz [US],Raging-Bolt,Electric,Protosynthesis
51,Luca Paz [US],Chi-Yu,Water,Beads of Ruin
51,Luca Paz [US],Flutter-Mane,Fairy,Protosynthesis
51,Luca Paz [US],Koraidon,Fire,Orichalcum Pulse
51,Luca Paz [US],Ditto,Ghost,Imposter
52,Zackary Thornberg [US],Zamazenta,Dragon,Dauntless Shield
52,Zackary Thornberg [US],Scream-Tail,Grass,Protosynthesis
52,Zackary Thornberg [US],Chien-Pao,Dark,Sword of Ruin
52,Zackary Thornberg [US],Talonflame,Ghost,Gale Wings
52,Zackary Thornberg [US],Grimmsnarl,Ghost,Prankster
52,Zackary Thornberg [US],Dragonite,Normal,Inner Focus
53,Daniel walker [AU],Baxcalibur,Poison,Thermal Exchange
53,Daniel walker [AU],indeedee-female,Grass,Psychic Surge
53,Daniel walker [AU],Kyogre,Water,Drizzle
53,Daniel walker [AU],Slowking,Grass,Regenerator
53,Daniel walker [AU],Smeargle,Ghost,Moody
53,Daniel walker [AU],weezing-galar,Normal,Neutralizing Gas
54,YUMA MIYAMOTO [JP],Rillaboom,Fire,Grassy Surge
54,YUMA MIYAMOTO [JP],ogerpon-wellspring-mask,Water,Water Absorb
54,YUMA MIYAMOTO [JP],Incineroar,Water,Intimidate
54,YUMA MIYAMOTO [JP],urshifu-rapid-strike,Stellar,Unseen Fist
54,YUMA MIYAMOTO [JP],calyrex-shadow,Normal,As One
54,YUMA MIYAMOTO [JP],indeedee-female,Fairy,Psychic Surge
55,Max Waterman [UK],indeedee-female,Dragon,Psychic Surge
55,Max Waterman [UK],ursaluna-bloodmoon,Normal,Mind’s Eye
55,Max Waterman [UK],urshifu-single-strike,Grass,Unseen Fist
55,Max Waterman [UK],Smeargle,Grass,Technician
55,Max Waterman [UK],calyrex-ice,Fire,As One
55,Max Waterman [UK],Annihilape,Grass,Defiant
56,Victor Vieira [BR],ogerpon-cornerstone-mask,Rock,Sturdy
56,Victor Vieira [BR],landorus-incarnate,Flying,Sheer Force
56,Victor Vieira [BR],urshifu-rapid-strike,Stellar,Unseen Fist
56,Victor Vieira [BR],calyrex-ice,Fire,As One
56,Victor Vieira [BR],Raging-Bolt,Fairy,Protosynthesis
56,Victor Vieira [BR],Farigiraf,Fairy,Armor Tail
57,Zach Droegkamp [US],Ting-Lu,Fairy,Vessel of Ruin
57,Zach Droegkamp [US],Rillaboom,Fire,Grassy Surge
57,Zach Droegkamp [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
57,Zach Droegkamp [US],Raging-Bolt,Fairy,Protosynthesis
57,Zach Droegkamp [US],Dondozo,Dragon,Oblivious
57,Zach Droegkamp [US],calyrex-shadow,Ghost,As One
58,Nick Holmer [NL],tornadus-incarnate,Dark,Prankster
58,Nick Holmer [NL],Flutter-Mane,Fairy,Protosynthesis
58,Nick Holmer [NL],Kyogre,Grass,Drizzle
58,Nick Holmer [NL],Tsareena,Ice,Queenly Majesty
58,Nick Holmer [NL],Ditto,Ghost,Imposter
58,Nick Holmer [NL],Iron-Hands,Water,Quark Drive
59,Francesco Pio Pero [IT],Incineroar,Water,Intimidate
59,Francesco Pio Pero [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
59,Francesco Pio Pero [IT],calyrex-shadow,Dark,As One
59,Francesco Pio Pero [IT],urshifu-rapid-strike,Stellar,Unseen Fist
59,Francesco Pio Pero [IT],Rillaboom,Grass,Grassy Surge
59,Francesco Pio Pero [IT],Raging-Bolt,Fairy,Protosynthesis
60,Kenta Akagi [JP],urshifu-single-strike,Dark,Unseen Fist
60,Kenta Akagi [JP],Miraidon,Fairy,Hadron Engine
60,Kenta Akagi [JP],Iron-Hands,Poison,Quark Drive
60,Kenta Akagi [JP],Whimsicott,Fire,Prankster
60,Kenta Akagi [JP],landorus-incarnate,Fire,Sheer Force
60,Kenta Akagi [JP],Gholdengo,Steel,Good as Gold
61,Riccardo Stellini [IT],Whimsicott,Dark,Prankster
61,Riccardo Stellini [IT],Iron-Hands,Grass,Quark Drive
61,Riccardo Stellini [IT],Miraidon,Fairy,Hadron Engine
61,Riccardo Stellini [IT],Farigiraf,Water,Armor Tail
61,Riccardo Stellini [IT],Chi-Yu,Fire,Beads of Ruin
61,Riccardo Stellini [IT],urshifu-rapid-strike,Stellar,Unseen Fist
62,Toler Webb [US],urshifu-rapid-strike,Stellar,Unseen Fist
62,Toler Webb [US],ogerpon,Grass,Defiant
62,Toler Webb [US],Pelipper,Grass,Drizzle
62,Toler Webb [US],landorus-incarnate,Ghost,Sheer Force
62,Toler Webb [US],Incineroar,Grass,Intimidate
62,Toler Webb [US],calyrex-ice,Normal,As One
63,Chuppa Cross IV [US],Dondozo,Grass,Unaware
63,Chuppa Cross IV [US],weezing-galar,Dark,Neutralizing Gas
63,Chuppa Cross IV [US],tatsugiri-curly,Stellar,Commander
63,Chuppa Cross IV [US],Iron-Hands,Grass,Quark Drive
63,Chuppa Cross IV [US],indeedee-female,Fairy,Psychic Surge
63,Chuppa Cross IV [US],calyrex-shadow,Dark,As One
64,Alberto Lara [US],Chi-Yu,Ground,Beads of Ruin
64,Alberto Lara [US],urshifu-rapid-strike,Stellar,Unseen Fist
64,Alberto Lara [US],Farigiraf,Grass,Armor Tail
64,Alberto Lara [US],Miraidon,Electric,Hadron Engine
64,Alberto Lara [US],Iron-Hands,Water,Quark Drive
64,Alberto Lara [US],ursaluna-bloodmoon,Normal,Mind’s Eye
65,Nils Dunlop [SE],Farigiraf,Grass,Armor Tail
65,Nils Dunlop [SE],Iron-Hands,Water,Quark Drive
65,Nils Dunlop [SE],Amoonguss,Fairy,Regenerator
65,Nils Dunlop [SE],urshifu-rapid-strike,Water,Unseen Fist
65,Nils Dunlop [SE],calyrex-ice,Fire,As One
65,Nils Dunlop [SE],Regidrago,Steel,Dragon's Maw
66,Takehiro Nakata [JP],calyrex-ice,Dragon,As One
66,Takehiro Nakata [JP],urshifu-rapid-strike,Stellar,Unseen Fist
66,Takehiro Nakata [JP],Torkoal,Fire,Drought
66,Takehiro Nakata [JP],ogerpon-cornerstone-mask,Rock,Sturdy
66,Takehiro Nakata [JP],Flutter-Mane,Fairy,Protosynthesis
66,Takehiro Nakata [JP],Farigiraf,Dark,Armor Tail
67,Paul Chua [US],ursaluna-bloodmoon,Normal,Mind’s Eye
67,Paul Chua [US],Raging-Bolt,Electric,Protosynthesis
67,Paul Chua [US],calyrex-ice,Fire,As One
67,Paul Chua [US],Chien-Pao,Ghost,Sword of Ruin
67,Paul Chua [US],Amoonguss,Water,Regenerator
67,Paul Chua [US],urshifu-rapid-strike,Grass,Unseen Fist
68,Emanuele Briganti [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
68,Emanuele Briganti [IT],Flutter-Mane,Fairy,Protosynthesis
68,Emanuele Briganti [IT],Amoonguss,Ghost,Regenerator
68,Emanuele Briganti [IT],Terapagos,Stellar,Tera Shift
68,Emanuele Briganti [IT],Iron-Hands,Poison,Quark Drive
68,Emanuele Briganti [IT],Incineroar,Ghost,Intimidate
69,Dennis Komen [DE],Clefairy,Ground,Friend Guard
69,Dennis Komen [DE],tornadus-incarnate,Dark,Prankster
69,Dennis Komen [DE],urshifu-rapid-strike,Water,Unseen Fist
69,Dennis Komen [DE],calyrex-shadow,Grass,As One
69,Dennis Komen [DE],Rillaboom,Fire,Grassy Surge
69,Dennis Komen [DE],Smeargle,Ghost,Moody
70,Panyawut Noijan [TH],urshifu-rapid-strike,Stellar,Unseen Fist
